Module,Path,baseline,node24,workerd,bun,deno
*globals*,Math.trunc,supported,supported,supported,supported,supported
*globals*,MessageChannel,supported,supported,supported,supported,supported
*globals*,MessageEvent,supported,supported,supported,supported,supported
*globals*,MessagePort,supported,supported,supported,supported,supported
*globals*,NaN,supported,supported,supported,supported,supported
*globals*,Navigator,supported,supported,supported,unsupported,supported
*globals*,Number,supported,supported,supported,supported,supported
*globals*,Object,supported,supported,supported,supported,supported
*globals*,Performance,supported,supported,supported,supported,supported
*globals*,PerformanceEntry,supported,supported,supported,supported,supported
*globals*,PerformanceMark,supported,supported,supported,supported,supported
*globals*,PerformanceMeasure,supported,supported,supported,supported,supported
*globals*,PerformanceObserver,supported,supported,supported,supported,supported
*globals*,PerformanceObserverEntryList,supported,supported,supported,supported,supported
*globals*,PerformanceResourceTiming,supported,supported,supported,supported,unsupported
*globals*,Promise,supported,supported,supported,supported,supported
*globals*,Proxy,supported,supported,supported,supported,supported
*globals*,RangeError,supported,supported,supported,supported,supported
*globals*,ReadableByteStreamController,supported,supported,supported,supported,supported
*globals*,ReadableStream,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBReader,supported,supported,supported,supported,supported
*globals*,ReadableStreamBYOBRequest,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultController,supported,supported,supported,supported,supported
*globals*,ReadableStreamDefaultReader,supported,supported,supported,supported,supported
*globals*,ReferenceError,supported,supported,supported,supported,supported
*globals*,Reflect.*self*,supported,supported,supported,supported,supported
*globals*,Reflect.apply,supported,supported,supported,supported,supported
*globals*,Reflect.construct,supported,supported,supported,supported,supported
*globals*,Reflect.defineProperty,supported,supported,supported,supported,supported
*globals*,Reflect.deleteProperty,supported,supported,supported,supported,supported
*globals*,Reflect.get,supported,supported,supported,supported,supported
*globals*,Reflect.getOwnPropertyDescriptor,supported,supported,supported,supported,supported
*globals*,Reflect.getPrototypeOf,supported,supported,supported,supported,supported
*globals*,Reflect.has,supported,supported,supported,supported,supported
*globals*,Reflect.isExtensible,supported,supported,supported,supported,supported
*globals*,Reflect.ownKeys,supported,supported,supported,supported,supported
*globals*,Reflect.preventExtensions,supported,supported,supported,supported,supported
*globals*,Reflect.set,supported,supported,supported,supported,supported
*globals*,Reflect.setPrototypeOf,supported,supported,supported,supported,supported
*globals*,RegExp,supported,supported,supported,supported,supported
*globals*,Request,supported,supported,supported,supported,supported
*globals*,Response,supported,supported,supported,supported,supported
*globals*,Set,supported,supported,supported,supported,supported
*globals*,SharedArrayBuffer,supported,supported,supported,supported,supported
*globals*,String,supported,supported,supported,supported,supported
*globals*,SubtleCrypto,supported,supported,supported,supported,supported
*globals*,SuppressedError,supported,supported,supported,supported,supported
*globals*,Symbol,supported,supported,supported,supported,supported
*globals*,SyntaxError,supported,supported,supported,supported,supported
*globals*,TextDecoder,supported,supported,supported,supported,supported
*globals*,TextDecoderStream,supported,supported,supported,supported,supported
*globals*,TextEncoder,supported,supported,supported,supported,supported
*globals*,TextEncoderStream,supported,supported,supported,supported,supported
*globals*,TransformStream,supported,supported,supported,supported,supported
*globals*,TransformStreamDefaultController,supported,supported,supported,supported,supported
*globals*,TypeError,supported,supported,supported,supported,supported
*globals*,URIError,supported,supported,supported,supported,supported
*globals*,URL,supported,supported,supported,supported,supported
*globals*,URLPattern,supported,supported,supported,supported,supported
*globals*,URLSearchParams,supported,supported,supported,supported,supported
*globals*,Uint16Array,supported,supported,supported,supported,supported
*globals*,Uint32Array,supported,supported,supported,supported,supported
*globals*,Uint8Array,supported,supported,supported,supported,supported
*globals*,Uint8ClampedArray,supported,supported,supported,supported,supported
*globals*,WeakMap,supported,supported,supported,supported,supported
*globals*,WeakRef,supported,supported,supported,supported,supported
*globals*,WeakSet,supported,supported,supported,supported,supported
*globals*,WebAssembly.*self*,supported,supported,supported,supported,supported
*globals*,WebAssembly.CompileError,supported,supported,supported,supported,supported
*globals*,WebAssembly.Exception,supported,supported,supported,supported,supported
*globals*,WebAssembly.Global,supported,supported,supported,supported,supported
*globals*,WebAssembly.Instance,supported,supported,supported,supported,supported
*globals*,WebAssembly.JSTag.*self*,supported,supported,supported,supported,supported
*globals*,WebAssembly.LinkError,supported,supported,supported,supported,supported
*globals*,WebAssembly.Memory,supported,supported,supported,supported,supported
*globals*,WebAssembly.Module,supported,supported,supported,supported,supported
*globals*,WebAssembly.RuntimeError,supported,supported,supported,supported,supported
*globals*,WebAssembly.Table,supported,supported,supported,supported,supported
*globals*,WebAssembly.Tag,supported,supported,supported,supported,supported
*globals*,WebAssembly.compile,supported,supported,supported,supported,supported
*globals*,WebAssembly.compileStreaming,supported,supported,unsupported,supported,supported
*globals*,WebAssembly.instantiate,supported,supported,supported,supported,supported
*globals*,WebAssembly.instantiateStreaming,supported,supported,unsupported,supported,supported
*globals*,WebAssembly.validate,supported,supported,supported,supported,supported
*globals*,WebSocket,supported,supported,supported,supported,supported
*globals*,WritableStream,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultController,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultWriter,supported,supported,supported,supported,supported
*globals*,atob,supported,supported,supported,supported,supported
*globals*,btoa,supported,supported,supported,supported,supported
*globals*,clearImmediate,supported,supported,supported,supported,supported
*globals*,clearInterval,supported,supported,supported,supported,supported
*globals*,clearTimeout,supported,supported,supported,supported,supported
*globals*,console.*self*,supported,supported,supported,supported,supported
*globals*,console.Console,supported,supported,supported,supported,supported
*globals*,console.assert,supported,supported,supported,supported,supported
*globals*,console.clear,supported,supported,supported,supported,supported
*globals*,console.context,supported,supported,supported,unsupported,unsupported
*globals*,console.count,supported,supported,supported,supported,supported
*globals*,console.countReset,supported,supported,supported,supported,supported
*globals*,console.createTask,supported,supported,supported,unsupported,supported
*globals*,console.debug,supported,supported,supported,supported,supported
*globals*,console.dir,supported,supported,supported,supported,supported
*globals*,console.dirxml,supported,supported,supported,supported,supported
*globals*,console.error,supported,supported,supported,supported,supported
*globals*,console.group,supported,supported,supported,supported,supported
*globals*,console.groupCollapsed,supported,supported,supported,supported,supported
*globals*,console.groupEnd,supported,supported,supported,supported,supported
*globals*,console.info,supported,supported,supported,supported,supported
*globals*,console.log,supported,supported,supported,supported,supported
*globals*,console.profile,supported,supported,supported,supported,supported
*globals*,console.profileEnd,supported,supported,supported,supported,supported
*globals*,console.table,supported,supported,supported,supported,supported
*globals*,console.time,supported,supported,supported,supported,supported
*globals*,console.timeEnd,supported,supported,supported,supported,supported
*globals*,console.timeLog,supported,supported,supported,supported,supported
*globals*,console.timeStamp,supported,supported,supported,supported,supported
*globals*,console.trace,supported,supported,supported,supported,supported
*globals*,console.warn,supported,supported,supported,supported,supported
*globals*,crypto.*self*,supported,supported,supported,supported,supported
*globals*,crypto.getRandomValues,supported,supported,supported,supported,supported
*globals*,crypto.randomUUID,supported,supported,supported,supported,supported
*globals*,crypto.subtle.*self*,supported,supported,supported,supported,supported
*globals*,crypto.subtle.decapsulateBits,supported,supported,unsupported,unsupported,unsupported
*globals*,crypto.subtle.decapsulateKey,supported,supported,unsupported,unsupported,unsupported
*globals*,crypto.subtle.decrypt,supported,supported,supported,supported,supported
*globals*,crypto.subtle.deriveBits,supported,supported,supported,supported,supported
*globals*,crypto.subtle.deriveKey,supported,supported,supported,supported,supported
*globals*,crypto.subtle.digest,supported,supported,supported,supported,supported
*globals*,crypto.subtle.encapsulateBits,supported,supported,unsupported,unsupported,unsupported
*globals*,crypto.subtle.encapsulateKey,supported,supported,unsupported,unsupported,unsupported
*globals*,crypto.subtle.encrypt,supported,supported,supported,supported,supported
*globals*,crypto.subtle.exportKey,supported,supported,supported,supported,supported
*globals*,crypto.subtle.generateKey,supported,supported,supported,supported,supported
*globals*,crypto.subtle.getPublicKey,supported,supported,unsupported,unsupported,unsupported
*globals*,crypto.subtle.importKey,supported,supported,supported,supported,supported
*globals*,crypto.subtle.sign,supported,supported,supported,supported,supported
*globals*,crypto.subtle.unwrapKey,supported,supported,supported,supported,supported
*globals*,crypto.subtle.verify,supported,supported,supported,supported,supported
*globals*,crypto.subtle.wrapKey,supported,supported,supported,supported,supported
*globals*,decodeURI,supported,supported,supported,supported,supported
*globals*,decodeURIComponent,supported,supported,supported,supported,supported
*globals*,encodeURI,supported,supported,supported,supported,supported
*globals*,encodeURIComponent,supported,supported,supported,supported,supported
*globals*,escape,supported,supported,supported,supported,supported
*globals*,eval,supported,supported,supported,supported,supported
*globals*,fetch,supported,supported,supported,supported,supported
*globals*,global.*self*,supported,supported,supported,supported,supported
*globals*,global.AbortController,supported,supported,supported,supported,supported
*globals*,global.AbortSignal,supported,supported,supported,supported,supported
*globals*,global.AggregateError,supported,supported,supported,supported,supported
*globals*,global.Array,supported,supported,supported,supported,supported
*globals*,global.ArrayBuffer,supported,supported,supported,supported,supported
*globals*,global.AsyncDisposableStack,supported,supported,supported,supported,supported
*globals*,global.Atomics.*self*,supported,supported,supported,supported,supported
*globals*,global.Atomics.add,supported,supported,supported,supported,supported
*globals*,global.Atomics.and,supported,supported,supported,supported,supported
*globals*,global.Atomics.compareExchange,supported,supported,supported,supported,supported
*globals*,global.Atomics.exchange,supported,supported,supported,supported,supported
*globals*,global.Atomics.isLockFree,supported,supported,supported,supported,supported
*globals*,global.Atomics.load,supported,supported,supported,supported,supported
*globals*,global.Atomics.notify,supported,supported,supported,supported,supported
*globals*,global.Atomics.or,supported,supported,supported,supported,supported
*globals*,global.Atomics.pause,supported,supported,supported,supported,supported
*globals*,global.Atomics.store,supported,supported,supported,supported,supported
*globals*,global.Atomics.sub,supported,supported,supported,supported,supported
*globals*,global.Atomics.wait,supported,supported,supported,supported,supported
*globals*,global.Atomics.waitAsync,supported,supported,supported,supported,supported
*globals*,global.Atomics.xor,supported,supported,supported,supported,supported
*globals*,global.BigInt,supported,supported,supported,supported,supported
*globals*,global.BigInt64Array,supported,supported,supported,supported,supported
*globals*,global.BigUint64Array,supported,supported,supported,supported,supported
*globals*,global.Blob,supported,supported,supported,supported,supported
*globals*,global.Boolean,supported,supported,supported,supported,supported
*globals*,global.BroadcastChannel,supported,supported,unsupported,supported,supported
*globals*,global.Buffer,supported,supported,supported,supported,supported
*globals*,global.ByteLengthQueuingStrategy,supported,supported,supported,supported,supported
*globals*,global.CloseEvent,supported,supported,supported,supported,supported
*globals*,global.CompressionStream,supported,supported,supported,supported,supported
*globals*,global.CountQueuingStrategy,supported,supported,supported,supported,supported
*globals*,global.Crypto,supported,supported,supported,supported,supported
*globals*,global.CryptoKey,supported,supported,supported,supported,supported
*globals*,global.CustomEvent,supported,supported,supported,supported,supported
*globals*,global.DOMException,supported,supported,supported,supported,supported
*globals*,global.DataView,supported,supported,supported,supported,supported
*globals*,global.Date,supported,supported,supported,supported,supported
*globals*,global.DecompressionStream,supported,supported,supported,supported,supported
*globals*,global.DisposableStack,supported,supported,supported,supported,supported
*globals*,global.Error,supported,supported,supported,supported,supported
*globals*,global.EvalError,supported,supported,supported,supported,supported
*globals*,global.Event,supported,supported,supported,supported,supported
*globals*,global.EventTarget,supported,supported,supported,supported,supported
*globals*,global.File,supported,supported,supported,supported,supported
*globals*,global.FinalizationRegistry,supported,supported,supported,supported,supported
*globals*,global.Float16Array,supported,supported,supported,supported,supported
*globals*,global.Float32Array,supported,supported,supported,supported,supported
*globals*,global.Float64Array,supported,supported,supported,supported,supported
*globals*,global.FormData,supported,supported,supported,supported,supported
*globals*,global.Function,supported,supported,supported,supported,supported
*globals*,global.Headers,supported,supported,supported,supported,supported
*globals*,global.Infinity,supported,supported,supported,supported,supported
*globals*,global.Int16Array,supported,supported,supported,supported,supported
*globals*,global.Int32Array,supported,supported,supported,supported,supported
*globals*,global.Int8Array,supported,supported,supported,supported,supported
*globals*,global.Intl.*self*,supported,supported,supported,supported,supported
*globals*,global.Intl.Collator,supported,supported,supported,supported,supported
*globals*,global.Intl.DateTimeFormat,supported,supported,supported,supported,supported
*globals*,global.Intl.DisplayNames,supported,supported,supported,supported,supported
*globals*,global.Intl.DurationFormat,supported,supported,supported,supported,supported
*globals*,global.Intl.ListFormat,supported,supported,supported,supported,supported
*globals*,global.Intl.Locale,supported,supported,supported,supported,supported
*globals*,global.Intl.NumberFormat,supported,supported,supported,supported,supported
*globals*,global.Intl.PluralRules,supported,supported,supported,supported,supported
*globals*,global.Intl.RelativeTimeFormat,supported,supported,supported,supported,supported
*globals*,global.Intl.Segmenter,supported,supported,supported,supported,supported
*globals*,global.Intl.getCanonicalLocales,supported,supported,supported,supported,supported
*globals*,global.Intl.supportedValuesOf,supported,supported,supported,supported,supported
*globals*,global.Iterator,supported,supported,supported,supported,supported
*globals*,global.JSON.*self*,supported,supported,supported,supported,supported
*globals*,global.JSON.isRawJSON,supported,supported,supported,supported,supported
*globals*,global.JSON.parse,supported,supported,supported,supported,supported
*globals*,global.JSON.rawJSON,supported,supported,supported,supported,supported
*globals*,global.JSON.stringify,supported,supported,supported,supported,supported
*globals*,global.Map,supported,supported,supported,supported,supported
*globals*,global.Math.*self*,supported,supported,supported,supported,supported
*globals*,global.Math.E,supported,supported,supported,supported,supported
*globals*,global.Math.LN10,supported,supported,supported,supported,supported
*globals*,global.Math.LN2,supported,supported,supported,supported,supported
*globals*,global.Math.LOG10E,supported,supported,supported,supported,supported
*globals*,global.Math.LOG2E,supported,supported,supported,supported,supported
*globals*,global.Math.PI,supported,supported,supported,supported,supported
*globals*,global.Math.SQRT1_2,supported,supported,supported,supported,supported
*globals*,global.Math.SQRT2,supported,supported,supported,supported,supported
*globals*,global.Math.abs,supported,supported,supported,supported,supported
*globals*,global.Math.acos,supported,supported,supported,supported,supported
*globals*,global.Math.acosh,supported,supported,supported,supported,supported
*globals*,global.Math.asin,supported,supported,supported,supported,supported
*globals*,global.Math.asinh,supported,supported,supported,supported,supported
*globals*,global.Math.atan,supported,supported,supported,supported,supported
*globals*,global.Math.atan2,supported,supported,supported,supported,supported
*globals*,global.Math.atanh,supported,supported,supported,supported,supported
*globals*,global.Math.cbrt,supported,supported,supported,supported,supported
*globals*,global.Math.ceil,supported,supported,supported,supported,supported
*globals*,global.Math.clz32,supported,supported,supported,supported,supported
*globals*,global.Math.cos,supported,supported,supported,supported,supported
*globals*,global.Math.cosh,supported,supported,supported,supported,supported
*globals*,global.Math.exp,supported,supported,supported,supported,supported
*globals*,global.Math.expm1,supported,supported,supported,supported,supported
*globals*,global.Math.f16round,supported,supported,supported,supported,supported
*globals*,global.Math.floor,supported,supported,supported,supported,supported
*globals*,global.Math.fround,supported,supported,supported,supported,supported
*globals*,global.Math.hypot,supported,supported,supported,supported,supported
*globals*,global.Math.imul,supported,supported,supported,supported,supported
*globals*,global.Math.log,supported,supported,supported,supported,supported
*globals*,global.Math.log10,supported,supported,supported,supported,supported
*globals*,global.Math.log1p,supported,supported,supported,supported,supported
*globals*,global.Math.log2,supported,supported,supported,supported,supported
*globals*,global.Math.max,supported,supported,supported,supported,supported
*globals*,global.Math.min,supported,supported,supported,supported,supported
*globals*,global.Math.pow,supported,supported,supported,supported,supported
*globals*,global.Math.random,supported,supported,supported,supported,supported
*globals*,global.Math.round,supported,supported,supported,supported,supported
*globals*,global.Math.sign,supported,supported,supported,supported,supported
*globals*,global.Math.sin,supported,supported,supported,supported,supported
*globals*,global.Math.sinh,supported,supported,supported,supported,supported
*globals*,global.Math.sqrt,supported,supported,supported,supported,supported
*globals*,global.Math.tan,supported,supported,supported,supported,supported
*globals*,global.Math.tanh,supported,supported,supported,supported,supported
*globals*,global.Math.trunc,supported,supported,supported,supported,supported
*globals*,global.MessageChannel,supported,supported,supported,supported,supported
*globals*,global.MessageEvent,supported,supported,supported,supported,supported
*globals*,global.MessagePort,supported,supported,supported,supported,supported
*globals*,global.NaN,supported,supported,supported,supported,supported
*globals*,global.Navigator,supported,supported,supported,unsupported,supported
*globals*,global.Number,supported,supported,supported,supported,supported
*globals*,global.Object,supported,supported,supported,supported,supported
*globals*,global.Performance,supported,supported,supported,supported,supported
*globals*,global.PerformanceEntry,supported,supported,supported,supported,supported
*globals*,global.PerformanceMark,supported,supported,supported,supported,supported
*globals*,global.PerformanceMeasure,supported,supported,supported,supported,supported
*globals*,global.PerformanceObserver,supported,supported,supported,supported,supported
*globals*,global.PerformanceObserverEntryList,supported,supported,supported,supported,supported
*globals*,global.PerformanceResourceTiming,supported,supported,supported,supported,unsupported
*globals*,global.Promise,supported,supported,supported,supported,supported
*globals*,global.Proxy,supported,supported,supported,supported,supported
*globals*,global.RangeError,supported,supported,supported,supported,supported
*globals*,global.ReadableByteStreamController,supported,supported,supported,supported,supported
*globals*,global.ReadableStream,supported,supported,supported,supported,supported
*globals*,global.ReadableStreamBYOBReader,supported,supported,supported,supported,supported
*globals*,global.ReadableStreamBYOBRequest,supported,supported,supported,supported,supported
*globals*,global.ReadableStreamDefaultController,supported,supported,supported,supported,supported
*globals*,global.ReadableStreamDefaultReader,supported,supported,supported,supported,supported
*globals*,global.ReferenceError,supported,supported,supported,supported,supported
*globals*,global.Reflect.*self*,supported,supported,supported,supported,supported
*globals*,global.Reflect.apply,supported,supported,supported,supported,supported
*globals*,global.Reflect.construct,supported,supported,supported,supported,supported
*globals*,global.Reflect.defineProperty,supported,supported,supported,supported,supported
*globals*,global.Reflect.deleteProperty,supported,supported,supported,supported,supported
*globals*,global.Reflect.get,supported,supported,supported,supported,supported
*globals*,global.Reflect.getOwnPropertyDescriptor,supported,supported,supported,supported,supported
*globals*,global.Reflect.getPrototypeOf,supported,supported,supported,supported,supported
*globals*,global.Reflect.has,supported,supported,supported,supported,supported
*globals*,global.Reflect.isExtensible,supported,supported,supported,supported,supported
*globals*,global.Reflect.ownKeys,supported,supported,supported,supported,supported
*globals*,global.Reflect.preventExtensions,supported,supported,supported,supported,supported
*globals*,global.Reflect.set,supported,supported,supported,supported,supported
*globals*,global.Reflect.setPrototypeOf,supported,supported,supported,supported,supported
*globals*,global.RegExp,supported,supported,supported,supported,supported
*globals*,global.Request,supported,supported,supported,supported,supported
*globals*,global.Response,supported,supported,supported,supported,supported
*globals*,global.Set,supported,supported,supported,supported,supported
*globals*,global.SharedArrayBuffer,supported,supported,supported,supported,supported
*globals*,global.String,supported,supported,supported,supported,supported
*globals*,global.SubtleCrypto,supported,supported,supported,supported,supported
*globals*,global.SuppressedError,supported,supported,supported,supported,supported
*globals*,global.Symbol,supported,supported,supported,supported,supported
*globals*,global.SyntaxError,supported,supported,supported,supported,supported
*globals*,global.TextDecoder,supported,supported,supported,supported,supported
*globals*,global.TextDecoderStream,supported,supported,supported,supported,supported
*globals*,global.TextEncoder,supported,supported,supported,supported,supported
*globals*,global.TextEncoderStream,supported,supported,supported,supported,supported
*globals*,global.TransformStream,supported,supported,supported,supported,supported
*globals*,global.TransformStreamDefaultController,supported,supported,supported,supported,supported
*globals*,global.TypeError,supported,supported,supported,supported,supported
*globals*,global.URIError,supported,supported,supported,supported,supported
*globals*,global.URL,supported,supported,supported,supported,supported
*globals*,global.URLPattern,supported,supported,supported,supported,supported
*globals*,global.URLSearchParams,supported,supported,supported,supported,supported
*globals*,global.Uint16Array,supported,supported,supported,supported,supported
*globals*,global.Uint32Array,supported,supported,supported,supported,supported
*globals*,global.Uint8Array,supported,supported,supported,supported,supported
*globals*,global.Uint8ClampedArray,supported,supported,supported,supported,supported
*globals*,global.WeakMap,supported,supported,supported,supported,supported
*globals*,global.WeakRef,supported,supported,supported,supported,supported
*globals*,global.WeakSet,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.*self*,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.CompileError,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Exception,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Global,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Instance,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.JSTag,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.LinkError,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Memory,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Module,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.RuntimeError,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Table,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.Tag,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.compile,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.compileStreaming,supported,supported,unsupported,supported,supported
*globals*,global.WebAssembly.instantiate,supported,supported,supported,supported,supported
*globals*,global.WebAssembly.instantiateStreaming,supported,supported,unsupported,supported,supported
*globals*,global.WebAssembly.validate,supported,supported,supported,supported,supported
*globals*,global.WebSocket,supported,supported,supported,supported,supported
*globals*,global.WritableStream,supported,supported,supported,supported,supported
*globals*,global.WritableStreamDefaultController,supported,supported,supported,supported,supported
*globals*,global.WritableStreamDefaultWriter,supported,supported,supported,supported,supported
*globals*,global.atob,supported,supported,supported,supported,supported
*globals*,global.btoa,supported,supported,supported,supported,supported
*globals*,global.clearImmediate,supported,supported,supported,supported,supported
*globals*,global.clearInterval,supported,supported,supported,supported,supported
*globals*,global.clearTimeout,supported,supported,supported,supported,supported
